source_path,staged_image,staged_label,suggested_class_name,suggested_class_id
C:\Users\lisan\Downloads\new dataset\barrel (1).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0001_barrel__1.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0001_barrel__1.txt,barrel,8
C:\Users\lisan\Downloads\new dataset\barrel (2).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0002_barrel__2.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0002_barrel__2.txt,barrel,8
C:\Users\lisan\Downloads\new dataset\barrel (3).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0003_barrel__3.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0003_barrel__3.txt,barrel,8
C:\Users\lisan\Downloads\new dataset\barrel (4).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0004_barrel__4.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0004_barrel__4.txt,barrel,8
C:\Users\lisan\Downloads\new dataset\barrel (5).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0005_barrel__5.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0005_barrel__5.txt,barrel,8
C:\Users\lisan\Downloads\new dataset\containter (1).jpeg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0006_containter__1.jpeg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0006_containter__1.txt,container,3
C:\Users\lisan\Downloads\new dataset\containter (1).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0007_containter__1.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0007_containter__1.txt,container,3
C:\Users\lisan\Downloads\new dataset\containter (2).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0008_containter__2.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0008_containter__2.txt,container,3
C:\Users\lisan\Downloads\new dataset\containter (3).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0009_containter__3.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0009_containter__3.txt,container,3
C:\Users\lisan\Downloads\new dataset\male (1).jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\images\0010_male__1.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\review_sets\new_dataset\labels\0010_male__1.txt,male,6
