object_id,description,target_class,view_index,file_name,image_key,image_path,label_path,image_exists,label_exists,duplicates_removed_from_group
parkinglot_car,car on parking lot,suv,1,2026-06-28 20.56.45.jpg,2026-06-28-20-56-45,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.45.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-45_jpg.rf.WvIzwwqNfr2FwVzy6x88.txt,1,1,2
parkinglot_car,car on parking lot,suv,2,2026-06-28 20.56.46.jpg,2026-06-28-20-56-46,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.46.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-46_jpg.rf.DkbkmCBVPpANvl9WFA60.txt,1,1,2
parkinglot_car,car on parking lot,suv,3,2026-06-28 20.56.47.jpg,2026-06-28-20-56-47,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.47.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-47_jpg.rf.nMT2UZlmud1shWVy5Jiz.txt,1,1,2
parkinglot_car,car on parking lot,suv,4,2026-06-28 20.56.54.jpg,2026-06-28-20-56-54,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.54.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-54_jpg.rf.voBQ703Bqpy0YBkz2NBb.txt,1,1,2
parkinglot_car,car on parking lot,suv,5,2026-06-28 20.58.04.jpg,2026-06-28-20-58-04,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.58.04.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-58-04_jpg.rf.zjNHVpdk39OIu88kVWzN.txt,1,1,2
parkinglot_car,car on parking lot,suv,6,2026-06-28 20.58.01.jpg,2026-06-28-20-58-01,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.58.01.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-58-01_jpg.rf.f4A16xU0KlgCRKuODbSJ.txt,1,1,2
ooij_tower,tower in the Ooij,tower,1,2026-06-29 17.37.15.jpg,2026-06-29-17-37-15,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.37.15.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-37-15_jpg.rf.UAtIJnOxH6Llr8U1xMNR.txt,1,1,0
ooij_tower,tower in the Ooij,tower,2,2026-06-29 17.35.32.jpg,2026-06-29-17-35-32,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.35.32.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-35-32_jpg.rf.4YhkV0MDaO0Vk2phnysE.txt,1,1,0
ooij_tower,tower in the Ooij,tower,3,2026-06-29 17.36.06.jpg,2026-06-29-17-36-06,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.36.06.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-36-06_jpg.rf.aIgYVkEgShAlKtc6njpX.txt,1,1,0
ooij_tower,tower in the Ooij,tower,4,2026-06-29 17.36.07.jpg,2026-06-29-17-36-07,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.36.07.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-36-07_jpg.rf.hAi6SodsdFHHl0FhvqQl.txt,1,1,0
ooij_tower,tower in the Ooij,tower,5,2026-06-29 17.36.40.jpg,2026-06-29-17-36-40,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.36.40.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-36-40_jpg.rf.jjIdrAQUdXbDnR0PuqLb.txt,1,1,0
ooij_tower,tower in the Ooij,tower,6,2026-06-29 17.36.50.jpg,2026-06-29-17-36-50,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.36.50.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-36-50_jpg.rf.DA540rOlh6qiYgGZVRJi.txt,1,1,0
ooij_tower,tower in the Ooij,tower,7,2026-06-29 17.36.51.jpg,2026-06-29-17-36-51,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.36.51.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-36-51_jpg.rf.BXT8mDN8w78j9jfMByFY.txt,1,1,0
ooij_tower,tower in the Ooij,tower,8,2026-06-29 17.36.53.jpg,2026-06-29-17-36-53,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.36.53.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-36-53_jpg.rf.yWR8cAmNnFPeELnltGaP.txt,1,1,0
la_souris_truck,La Souris truck,whitevan,1,2026-07-12 21.05.57.jpg,2026-07-12-21-05-57,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.05.57.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-05-57_jpg.rf.tiOZnEsoSN9Ofnhkbuwb.txt,1,1,0
la_souris_truck,La Souris truck,whitevan,2,2026-07-12 21.06.04.jpg,2026-07-12-21-06-04,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.06.04.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-06-04_jpg.rf.Wln2UCI1pTXOzVE8SB7O.txt,1,1,0
la_souris_truck,La Souris truck,whitevan,3,2026-07-12 21.01.06.jpg,2026-07-12-21-01-06,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.06.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-06_jpg.rf.fQHt1jv2T2xTcx7Xzf2U.txt,1,1,0
la_souris_truck,La Souris truck,whitevan,4,2026-07-12 21.01.23.jpg,2026-07-12-21-01-23,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.01.23.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-01-23_jpg.rf.Atr07CnrZRSnQE1rn5Oh.txt,1,1,0
