viewpoint_1,viewpoint_2,combination_label,scene_count,mean_best_pair_strict_quality,best_individual_mean_strict_quality_on_matched_scenes,pair_synergy_strict,mean_best_pair_AP50_95,elevation_pattern,radius_pattern,azimuth_pattern,unique_elevation_count,unique_radius_count,unique_azimuth_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,radius_relationship,elevation_relationship,azimuth_relationship,diversity_type,diversity_factor_count
ellow-radmid-az270,elmid-radmid-az225,ellow-radmid-az270 + elmid-radmid-az225,3,0.9385026618487657,0.6371466903761901,0.30135597147257565,0.9874999999999999,low + mid,mid,225 + 270,2,1,2,45,45.0,same_radius,adjacent_elevation,adjacent_45,elevation+azimuth,2
ellow-radmid-az270,elmid-radnear-az225,ellow-radmid-az270 + elmid-radnear-az225,4,0.9408835705999161,0.7122528268320991,0.228630743767817,0.9074337160705843,low + mid,near + mid,225 + 270,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radmid-az000,ellow-radmid-az225,ellow-radmid-az000 + ellow-radmid-az225,5,0.8866343164026184,0.7127944951941799,0.17383982120843844,0.7950137289336082,low,mid,000 + 225,1,1,2,135,135.0,same_radius,same_elevation,diagonal_135,azimuth_only,1
ellow-radnear-az000,ellow-radmid-az180,ellow-radnear-az000 + ellow-radmid-az180,6,0.939712902456467,0.7849256839774194,0.15478721847904764,0.9466145840783914,low,near + mid,000 + 180,1,2,2,180,180.0,adjacent_radius,same_elevation,opposite_180,distance+azimuth,2
ellow-radfar-az225,ellow-radfar-az315,ellow-radfar-az225 + ellow-radfar-az315,6,0.7700490703887084,0.6253725380942837,0.14467653229442468,0.762452654574405,low,far,225 + 315,1,1,2,90,90.0,same_radius,same_elevation,quarter_turn_90,azimuth_only,1
ellow-radmid-az045,ellow-radfar-az180,ellow-radmid-az045 + ellow-radfar-az180,6,0.9109004019505568,0.7704515608885126,0.14044884106204414,0.8541666667287547,low,mid + far,045 + 180,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2
ellow-radnear-az270,elhigh-radfar-az000,ellow-radnear-az270 + elhigh-radfar-az000,7,0.9185792938596161,0.7860332046217552,0.13254608923786093,0.9113095247035935,low + high,near + far,000 + 270,2,2,2,90,90.0,near_far,low_high,quarter_turn_90,distance+elevation+azimuth,3
ellow-radmid-az225,ellow-radfar-az000,ellow-radmid-az225 + ellow-radfar-az000,8,0.8860104326506266,0.7651307678100587,0.12087966484056789,0.8050887130113785,low,mid + far,000 + 225,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2
ellow-radnear-az000,elhigh-radmid-az135,ellow-radnear-az000 + elhigh-radmid-az135,5,0.8817108915930966,0.7625239012685867,0.11918699032450986,0.9405555558370219,low + high,near + mid,000 + 135,2,2,2,135,135.0,adjacent_radius,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radmid-az090,ellow-radfar-az135,ellow-radmid-az090 + ellow-radfar-az135,5,0.8301622314487197,0.7127798908262193,0.11738234062250041,0.7543555567827489,low,mid + far,090 + 135,1,2,2,45,45.0,adjacent_radius,same_elevation,adjacent_45,distance+azimuth,2
ellow-radmid-az090,ellow-radfar-az000,ellow-radmid-az090 + ellow-radfar-az000,7,0.8856953427842156,0.7811262905729721,0.10456905221124346,0.9016269854994283,low,mid + far,000 + 090,1,2,2,90,90.0,adjacent_radius,same_elevation,quarter_turn_90,distance+azimuth,2
ellow-radfar-az315,elmid-radnear-az180,ellow-radfar-az315 + elmid-radnear-az180,5,0.9511924206964146,0.8472913936136542,0.10390102708276039,0.975238095692226,low + mid,near + far,180 + 315,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az000,elhigh-radmid-az090,ellow-radnear-az000 + elhigh-radmid-az090,3,0.9227042720121984,0.8197011069107241,0.10300316510147434,0.9722222223877907,low + high,near + mid,000 + 090,2,2,2,90,90.0,adjacent_radius,low_high,quarter_turn_90,distance+elevation+azimuth,3
ellow-radfar-az315,elhigh-radmid-az090,ellow-radfar-az315 + elhigh-radmid-az090,5,0.7590677389889088,0.6718035919154574,0.08726414707345143,0.7664583335071802,low + high,mid + far,090 + 315,2,2,2,135,135.0,adjacent_radius,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az000,ellow-radfar-az135,ellow-radnear-az000 + ellow-radfar-az135,6,0.8791229603961993,0.7951691174862532,0.08395384290994612,0.9079950145273297,low,near + far,000 + 135,1,2,2,135,135.0,near_far,same_elevation,diagonal_135,distance+azimuth,2
ellow-radmid-az180,elmid-radfar-az090,ellow-radmid-az180 + elmid-radfar-az090,3,0.844869665247888,0.7625781742823428,0.08229149096554522,0.9,low + mid,mid + far,090 + 180,2,2,2,90,90.0,adjacent_radius,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
ellow-radfar-az225,elhigh-radfar-az045,ellow-radfar-az225 + elhigh-radfar-az045,4,0.7649622029535994,0.6890077892115425,0.07595441374205691,0.683645837455988,low + high,far,045 + 225,2,1,2,180,180.0,same_radius,low_high,opposite_180,elevation+azimuth,2
ellow-radmid-az000,elhigh-radmid-az090,ellow-radmid-az000 + elhigh-radmid-az090,8,0.8232599156911209,0.7523416562551604,0.07091825943596053,0.8525462973276499,low + high,mid,000 + 090,2,1,2,90,90.0,same_radius,low_high,quarter_turn_90,elevation+azimuth,2
ellow-radfar-az135,elhigh-radfar-az000,ellow-radfar-az135 + elhigh-radfar-az000,8,0.8814904019390672,0.8109826827467878,0.0705077191922795,0.9114304315997288,low + high,far,000 + 135,2,1,2,135,135.0,same_radius,low_high,diagonal_135,elevation+azimuth,2
ellow-radmid-az180,elhigh-radfar-az000,ellow-radmid-az180 + elhigh-radfar-az000,4,0.9064689663693635,0.8367459351536795,0.06972303121568402,0.9153409118002112,low + high,mid + far,000 + 180,2,2,2,180,180.0,adjacent_radius,low_high,opposite_180,distance+elevation+azimuth,3
elmid-radnear-az090,elmid-radmid-az315,elmid-radnear-az090 + elmid-radmid-az315,3,0.8812499012104311,0.8125301681917385,0.06871973301869261,0.9225071204799703,mid,near + mid,090 + 315,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2
ellow-radnear-az000,elhigh-radfar-az090,ellow-radnear-az000 + elhigh-radfar-az090,8,0.9210898444884674,0.8528347330719708,0.06825511141649665,0.9549635420652727,low + high,near + far,000 + 090,2,2,2,90,90.0,near_far,low_high,quarter_turn_90,distance+elevation+azimuth,3
ellow-radfar-az045,elmid-radfar-az090,ellow-radfar-az045 + elmid-radfar-az090,4,0.8531772135369442,0.7854444508450031,0.06773276269194106,0.80234375,low + mid,far,045 + 090,2,1,2,45,45.0,same_radius,adjacent_elevation,adjacent_45,elevation+azimuth,2
ellow-radnear-az000,elmid-radfar-az090,ellow-radnear-az000 + elmid-radfar-az090,9,0.8536645273096235,0.7859810591992056,0.06768346811041792,0.8468236461540477,low + mid,near + far,000 + 090,2,2,2,90,90.0,near_far,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
ellow-radmid-az225,elmid-radfar-az135,ellow-radmid-az225 + elmid-radfar-az135,8,0.8563145131086851,0.7902209193349434,0.06609359377374169,0.7911655896894892,low + mid,mid + far,135 + 225,2,2,2,90,90.0,adjacent_radius,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
elmid-radfar-az315,elhigh-radnear-az270,elmid-radfar-az315 + elhigh-radnear-az270,3,0.741096522164213,0.6750080178717468,0.06608850429246615,0.7194444455206394,mid + high,near + far,270 + 315,2,2,2,45,45.0,near_far,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radfar-az225,elmid-radfar-az315,ellow-radfar-az225 + elmid-radfar-az315,5,0.7938551916278825,0.7280634312175807,0.06579176041030188,0.7740000039769543,low + mid,far,225 + 315,2,1,2,90,90.0,same_radius,adjacent_elevation,quarter_turn_90,elevation+azimuth,2
ellow-radnear-az000,elmid-radnear-az225,ellow-radnear-az000 + elmid-radnear-az225,6,0.889466387384863,0.8258078278097324,0.06365855957513067,0.90482928257746,low + mid,near,000 + 225,2,1,2,135,135.0,same_radius,adjacent_elevation,diagonal_135,elevation+azimuth,2
ellow-radfar-az000,elhigh-radmid-az090,ellow-radfar-az000 + elhigh-radmid-az090,5,0.8498696518446657,0.7872773007584734,0.06259235108619232,0.8999511921048164,low + high,mid + far,000 + 090,2,2,2,90,90.0,adjacent_radius,low_high,quarter_turn_90,distance+elevation+azimuth,3
ellow-radnear-az090,elhigh-radfar-az090,ellow-radnear-az090 + elhigh-radfar-az090,5,0.9352377529768596,0.8737432577559815,0.06149449522087813,0.9221428575366735,low + high,near + far,090,2,2,1,0,0.0,near_far,low_high,same_azimuth,distance+elevation,2
ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az045 + ellow-radmid-az090,7,0.9185706619537467,0.8592891299501478,0.05928153200359887,0.9262385135730955,low,mid,045 + 090,1,1,2,45,45.0,same_radius,same_elevation,adjacent_45,azimuth_only,1
ellow-radmid-az045,elhigh-radfar-az045,ellow-radmid-az045 + elhigh-radfar-az045,8,0.9044199699277273,0.8454283740633981,0.05899159586432923,0.9276475695893168,low + high,mid + far,045,2,2,1,0,0.0,adjacent_radius,low_high,same_azimuth,distance+elevation,2
elmid-radnear-az225,elmid-radfar-az090,elmid-radnear-az225 + elmid-radfar-az090,6,0.8921259989725746,0.8331676870367151,0.05895831193585954,0.861728526193959,mid,near + far,090 + 225,1,2,2,135,135.0,near_far,same_elevation,diagonal_135,distance+azimuth,2
elmid-radfar-az135,elhigh-radnear-az270,elmid-radfar-az135 + elhigh-radnear-az270,5,0.8249248292416368,0.7667538858049611,0.058170943436675726,0.8310000002384186,mid + high,near + far,135 + 270,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
elmid-radnear-az225,elhigh-radmid-az270,elmid-radnear-az225 + elhigh-radmid-az270,6,0.9058570970068102,0.8477305774740399,0.05812651953277026,0.9500000000000001,mid + high,near + mid,225 + 270,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radnear-az315,ellow-radmid-az270,ellow-radnear-az315 + ellow-radmid-az270,5,0.9119464601105556,0.854167949801235,0.057778510309320574,0.9174040422546442,low,near + mid,270 + 315,1,2,2,45,45.0,adjacent_radius,same_elevation,adjacent_45,distance+azimuth,2
ellow-radmid-az180,elhigh-radmid-az270,ellow-radmid-az180 + elhigh-radmid-az270,5,0.8682615249566268,0.8105876872827757,0.057673837673851036,0.917600000166893,low + high,mid,180 + 270,2,1,2,90,90.0,same_radius,low_high,quarter_turn_90,elevation+azimuth,2
ellow-radnear-az090,ellow-radfar-az000,ellow-radnear-az090 + ellow-radfar-az000,5,0.9495911511584417,0.8919703624285497,0.05762078872989207,0.953454932376945,low,near + far,000 + 090,1,2,2,90,90.0,near_far,same_elevation,quarter_turn_90,distance+azimuth,2
ellow-radnear-az090,ellow-radmid-az000,ellow-radnear-az090 + ellow-radmid-az000,6,0.9357767256142585,0.8784408532745817,0.05733587233967685,0.8851936044281832,low,near + mid,000 + 090,1,2,2,90,90.0,adjacent_radius,same_elevation,quarter_turn_90,distance+azimuth,2
ellow-radnear-az000,ellow-radmid-az045,ellow-radnear-az000 + ellow-radmid-az045,10,0.8907390442713201,0.8343127290846063,0.056426315186713816,0.8283130269210254,low,near + mid,000 + 045,1,2,2,45,45.0,adjacent_radius,same_elevation,adjacent_45,distance+azimuth,2
ellow-radmid-az225,ellow-radfar-az045,ellow-radmid-az225 + ellow-radfar-az045,3,0.7814752551875882,0.7253110157690846,0.05616423941850357,0.7861111111938953,low,mid + far,045 + 225,1,2,2,180,180.0,adjacent_radius,same_elevation,opposite_180,distance+azimuth,2
ellow-radfar-az315,elmid-radmid-az315,ellow-radfar-az315 + elmid-radmid-az315,5,0.9190140777095592,0.8629868435608025,0.056027234148756766,0.8972257015574947,low + mid,mid + far,315,2,2,1,0,0.0,adjacent_radius,adjacent_elevation,same_azimuth,distance+elevation,2
