scene_id,episode_id,focus_object,file_name,view_idx,cam_x,cam_y,cam_z,cam_yaw,cam_pitch,tgt_x,tgt_y,tgt_z,azimuth_deg,azimuth_bin,radius_m,radius_name,radius_bin,elevation_z_off,elevation_name,elevation_bin
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az000.png,0,97.400002,-73.400002,7.520000,-179.914068,-9.009380,87.444483,-73.414933,9.098471,0,0,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az045.png,1,94.471069,-66.328934,7.520000,-134.758792,-8.988365,87.444483,-73.414933,9.098471,45,1,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az090.png,2,87.400002,-63.400002,7.520000,-89.745523,-8.956725,87.444483,-73.414933,9.098471,90,2,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az135.png,3,80.328934,-66.328934,7.520000,-44.880782,-8.933029,87.444483,-73.414933,9.098471,135,3,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az180.png,4,77.400002,-73.400002,7.520000,-0.085171,-8.930877,87.444483,-73.414933,9.098471,180,4,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az225.png,5,80.328934,-80.471069,7.520000,44.759798,-8.951490,87.444483,-73.414933,9.098471,225,5,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az270.png,6,87.400002,-83.400002,7.520000,89.744762,-8.983075,87.444483,-73.414933,9.098471,270,6,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az315.png,7,94.471069,-80.471069,7.520000,134.879776,-9.007172,87.444483,-73.414933,9.098471,315,7,10.0,near,0,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az000.png,8,103.400002,-73.400002,7.520000,-179.946382,-5.649857,87.444483,-73.414933,9.098471,0,0,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az045.png,9,98.713710,-62.086293,7.520000,-134.849363,-5.641555,87.444483,-73.414933,9.098471,45,1,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az090.png,10,87.400002,-57.400002,7.520000,-89.840862,-5.629013,87.444483,-73.414933,9.098471,90,2,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az135.png,11,76.086293,-62.086293,7.520000,-44.925371,-5.619589,87.444483,-73.414933,9.098471,135,3,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az180.png,12,71.400002,-73.400002,7.520000,-0.053320,-5.618732,87.444483,-73.414933,9.098471,180,4,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az225.png,13,76.086293,-84.713710,7.520000,44.849756,-5.626934,87.444483,-73.414933,9.098471,225,5,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az270.png,14,87.400002,-89.400002,7.520000,89.840565,-5.639461,87.444483,-73.414933,9.098471,270,6,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az315.png,15,98.713710,-84.713710,7.520000,134.924978,-5.648986,87.444483,-73.414933,9.098471,315,7,16.0,mid,1,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radfar-az000.png,16,109.400002,-73.400002,7.520000,-179.961035,-4.112151,87.444483,-73.414933,9.098471,0,0,22.0,far,2,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radfar-az045.png,17,102.956351,-57.843652,7.520000,-134.890485,-4.107747,87.444483,-73.414933,9.098471,45,1,22.0,far,2,-2.0,low,0
S0,S0_SM_barrel_1,SM_barrel_1,S0-SM_barrel_1-ellow-radfar-az090.png,18,87.400002,-51.400002,7.520000,-89.884234,-4.101084,87.444483,-73.414933,9.098471,90,2,22.0,far,2,-2.0,low,0
