factor,level,sample_count,scene_count,mean_f1,mean_ap50_95,mean_target_ap50_95,mean_target_match_confidence_iou50,mean_target_strict_quality_iou50,target_visible_rate,target_detected_rate,target_detected_given_visible
azimuth,000,301,155,0.6541322828423173,0.79404947776504,0.8487706107467033,0.9143176707021422,0.872138839671277,0.973421926910299,0.973421926910299,1.0
azimuth,045,280,161,0.6184913689848885,0.7802054536946769,0.8472185280695724,0.9240983449987002,0.876527296302333,0.9857142857142858,0.9857142857142858,1.0
azimuth,090,272,166,0.6361682771581614,0.7815778669777204,0.8473479168594009,0.921772427199518,0.8698775518612679,0.9852941176470589,0.9852941176470589,1.0
azimuth,135,279,154,0.6231480949246403,0.7938413902120725,0.8515781970291671,0.922051508366848,0.868641340157133,0.985663082437276,0.985663082437276,1.0
azimuth,180,260,156,0.6587934600610634,0.7917795838795464,0.8588375676638963,0.9234898945459953,0.8811181325835455,0.9846153846153847,0.9846153846153847,1.0
azimuth,225,277,153,0.6051775248735786,0.7604730001157701,0.8493148421376676,0.918207117796805,0.8756159991891609,0.9819494584837545,0.9783393501805054,0.9963235294117647
azimuth,270,284,151,0.6492140923570158,0.7760234452930665,0.8461027292380616,0.9130428449593445,0.8677999221060201,0.9753521126760564,0.9753521126760564,1.0
azimuth,315,261,156,0.6490564219128894,0.8007467604312363,0.8744538372266468,0.9254223389758004,0.8820330923963563,0.9846743295019157,0.9846743295019157,1.0
elevation,high,731,201,0.7741323173674555,0.8789063132186679,0.8991895985639736,0.9320448235804202,0.8826596979573782,1.0,1.0,1.0
elevation,low,744,202,0.44953668433366123,0.637554685889623,0.7687619279627175,0.8899175337445672,0.8455996837042906,0.9475806451612904,0.9475806451612904,1.0
elevation,mid,739,201,0.6892049736630057,0.8398043600009512,0.8911870454412956,0.9388340433331078,0.8942500934690867,0.9986468200270636,0.9972936400541272,0.9986449864498645
radius,far,705,198,0.6152343710356879,0.7540596009370999,0.8233367733983173,0.9019290300548499,0.8502933277855518,0.9730496453900709,0.9730496453900709,1.0
radius,mid,741,200,0.6451128941150923,0.7922861966601242,0.8538770170342695,0.9203376024358185,0.8723856543443145,0.9824561403508771,0.9824561403508771,1.0
radius,near,768,201,0.6483067793715779,0.8056517355724235,0.8784875034732246,0.9367078640270847,0.8975347096335152,0.9895833333333334,0.98828125,0.9986842105263158
